short_name,overall,potential, value_eur , wage_eur ,age,height_cm,weight_kg,club_name,league_name,club_position,attack_position,nationality_name,preferred_foot,international_reputation,body_type,pace,shooting,passing,dribbling,defending,physic
R. Lukaku,88,88,93500000,260000,28,191,94,Chelsea,English Premier League,ST,Attack,Belgium,Left,4,Unique,84,87,74,78,39,83
Bruno Fernandes,88,89,107500000,250000,26,179,69,Manchester United,English Premier League,CAM,Midfield,Portugal,Right,3,Unique,75,86,89,84,70,77
S. Agüero,87,87,51000000,260000,33,173,70,FC Barcelona,Spain Primera Division,ST,Attack,Argentina,Right,4,Unique,71,89,75,87,33,69
H. Lloris,87,87,13500000,125000,34,188,82,Tottenham Hotspur,English Premier League,GK,GoalKeeper,France,Left,4,Unique,,,,,,
L. Modrić,87,87,32000000,190000,35,172,66,Real Madrid CF,Spain Primera Division,RCM,Midfield,Croatia,Right,4,Lean (170-185),73,76,89,88,72,66
W. Szczęsny,87,87,42000000,105000,31,195,90,Juventus,Italian Serie A,GK,GoalKeeper,Poland,Right,3,Lean (185+),,,,,,
C. Immobile,87,87,67500000,125000,31,185,85,Lazio,Italian Serie A,ST,Attack,Italy,Right,4,Unique,86,87,67,81,39,77
P. Pogba,87,87,79500000,220000,28,191,84,Manchester United,English Premier League,RDM,Midfield,France,Right,4,Unique,71,81,86,86,65,83
M. Verratti,87,87,79500000,155000,28,165,60,Paris Saint-Germain,French Ligue 1,LCM,Midfield,Italy,Right,3,Unique,64,61,87,91,79,67
Marquinhos,87,90,90500000,135000,27,183,75,Paris Saint-Germain,French Ligue 1,RCB,Defense,Brazil,Right,3,Normal (170-185),81,53,75,74,89,81
P. Dybala,87,88,93000000,160000,27,177,75,Juventus,Italian Serie A,CAM,Midfield,Argentina,Left,3,Unique,84,86,86,90,40,60
A. Robertson,87,88,83500000,175000,27,178,64,Liverpool,English Premier League,LB,Defense,Scotland,Left,3,Unique,84,61,81,81,82,76
F. de Jong,87,92,119500000,210000,24,180,74,FC Barcelona,Spain Primera Division,RCM,Midfield,Netherlands,Right,3,Unique,81,69,85,88,77,78
T. Alexander-Arnold,87,92,114000000,150000,22,180,69,Liverpool,English Premier League,RB,Defense,England,Right,3,Unique,79,68,88,80,80,72
J. Sancho,87,91,116500000,150000,21,180,76,Manchester United,English Premier League,LM,Midfield,England,Right,3,Unique,81,76,82,91,36,65
Rúben Dias,87,91,102500000,170000,24,187,82,Manchester City,English Premier League,RCB,Defense,Portugal,Right,3,Normal (185+),61,38,65,68,88,88
S. Handanovič,86,86,7500000,78000,36,193,92,Inter,Italian Serie A,GK,GoalKeeper,Slovenia,Right,3,Unique,,,,,,
Jordi Alba,86,86,47000000,200000,32,170,68,FC Barcelona,Spain Primera Division,LB,Defense,Spain,Left,3,Unique,86,69,81,83,77,71
Thiago,86,86,65000000,180000,30,174,70,Liverpool,English Premier League,LCM,Midfield,Spain,Right,3,Normal (170-185),63,72,86,90,70,66
Sergio Busquets,86,86,45000000,200000,32,189,76,FC Barcelona,Spain Primera Division,CDM,Midfield,Spain,Right,4,Lean (185+),42,62,79,80,82,75
Parejo,86,86,53500000,64000,32,182,74,Villarreal CF,Spain Primera Division,LCM,Midfield,Spain,Right,2,Lean (170-185),50,83,90,81,71,69
L. Insigne,86,86,65500000,125000,30,163,59,Napoli,Italian Serie A,LW,Attack,Italy,Right,4,Unique,87,78,85,90,36,45
K. Koulibaly,86,86,55500000,105000,30,187,89,Napoli,Italian Serie A,LCB,Defense,Senegal,Right,3,Unique,81,28,51,65,87,85
R. Varane,86,88,68500000,180000,28,191,81,Manchester United,English Premier League,RCB,Defense,France,Right,3,Unique,82,49,64,65,87,82
R. Mahrez,86,86,65500000,220000,30,179,67,Manchester City,English Premier League,RW,Attack,Algeria,Left,3,Unique,81,79,81,90,38,60
Gerard Moreno,86,86,68000000,73000,29,180,77,Villarreal CF,Spain Primera Division,RS,Attack,Spain,Left,2,Lean (170-185),79,86,77,84,46,73
J. Vardy,86,86,33000000,180000,34,179,74,Leicester City,English Premier League,ST,Attack,England,Right,3,Unique,85,84,70,80,52,73
Fabinho,86,88,73500000,165000,27,188,78,Liverpool,English Premier League,CDM,Midfield,Brazil,Right,3,Unique,67,69,78,78,85,83
João Cancelo,86,87,71500000,185000,27,182,74,Manchester City,English Premier League,LB,Defense,Portugal,Right,3,Unique,85,71,83,84,80,72
A. Laporte,86,89,77000000,185000,27,191,85,Manchester City,English Premier League,LCB,Defense,Spain,Left,3,Unique,63,50,72,69,86,80
Marcos Llorente,86,89,88000000,95000,26,184,74,Atlético de Madrid,Spain Primera Division,RM,Midfield,Spain,Right,3,Lean (170-185),88,80,81,82,78,82
Rodri,86,89,81000000,175000,25,191,82,Manchester City,English Premier League,CDM,Midfield,Spain,Right,3,Normal (185+),61,70,77,78,82,82
M. Škriniar,86,88,74000000,150000,26,188,80,Inter,Italian Serie A,RCB,Defense,Slovakia,Right,3,Unique,80,41,53,69,87,84
A. Gómez,85,85,33500000,51000,33,167,68,Sevilla FC,Spain Primera Division,LCM,Midfield,Argentina,Right,3,Normal (170-),87,78,84,87,39,55
K. Schmeichel,85,85,9000000,115000,34,189,89,Leicester City,English Premier League,GK,GoalKeeper,Denmark,Right,2,Stocky (185+),,,,,,
David Silva,85,85,22000000,44000,35,173,67,Real Sociedad,Spain Primera Division,CAM,Midfield,Spain,Left,4,Normal (170-185),63,74,87,87,52,53
E. Hazard,85,85,52000000,240000,30,175,74,Real Madrid CF,Spain Primera Division,LW,Attack,Belgium,Right,4,Unique,84,80,82,88,35,63
L. Bonucci,85,85,17500000,110000,34,190,85,Juventus,Italian Serie A,RCB,Defense,Italy,Right,3,Lean (185+),64,58,69,72,86,80
İ. Gündoğan,85,85,51500000,185000,30,180,80,Manchester City,English Premier League,LCM,Midfield,Germany,Right,3,Normal (170-185),65,80,85,86,73,72
K. Walker,85,85,39000000,170000,31,183,83,Manchester City,English Premier League,RB,Defense,England,Right,3,Unique,92,63,76,78,80,82
P. Aubameyang,85,85,43500000,145000,32,187,80,Arsenal,English Premier League,ST,Attack,Gabon,Right,3,Unique,89,85,75,80,35,69
Koke,85,85,52500000,90000,29,176,75,Atlético de Madrid,Spain Primera Division,RCM,Midfield,Spain,Right,3,Normal (170-185),70,75,85,81,79,80
A. Griezmann,85,85,53000000,220000,30,176,73,Atlético de Madrid,Spain Primera Division,LS,Attack,France,Left,4,Unique,80,84,84,87,52,72
S. de Vrij,85,85,45000000,145000,29,189,78,Inter,Italian Serie A,CB,Defense,Netherlands,Right,3,Unique,72,41,64,70,87,79
Roberto Firmino,85,85,54000000,185000,29,181,76,Liverpool,English Premier League,CF,Attack,Brazil,Right,3,Unique,77,78,79,89,59,78
M. Depay,85,86,63000000,220000,27,176,78,FC Barcelona,Spain Primera Division,LW,Attack,Netherlands,Right,3,Unique,82,83,82,84,30,79
Carvajal,85,85,47500000,210000,29,173,73,Real Madrid CF,Spain Primera Division,RB,Defense,Spain,Right,3,Unique,80,54,78,80,81,80
Jorginho,85,85,52500000,170000,29,180,68,Chelsea,English Premier League,LCM,Midfield,Italy,Right,2,Lean (170-185),55,67,86,81,73,73
S. Milinković-Savić,85,87,66000000,100000,26,191,76,Lazio,Italian Serie A,RCM,Midfield,Serbia,Right,3,Normal (185+),68,79,80,81,79,86
W. Ndidi,85,88,66500000,120000,24,183,74,Leicester City,English Premier League,LDM,Midfield,Nigeria,Right,1,Lean (170-185),67,62,69,74,87,83
Oyarzabal,85,89,77500000,57000,24,181,79,Real Sociedad,Spain Primera Division,LW,Attack,Spain,Left,2,Lean (170-185),82,82,81,84,41,63
L. Martínez,85,89,78000000,145000,23,174,72,Inter,Italian Serie A,LS,Attack,Argentina,Right,3,Unique,84,81,72,85,48,84
A. Hakimi,85,88,69500000,100000,22,181,73,Paris Saint-Germain,French Ligue 1,RB,Defense,Morocco,Right,2,Lean (170-185),95,71,78,83,76,78
M. de Ligt,85,90,75000000,81000,21,189,89,Juventus,Italian Serie A,LCB,Defense,Netherlands,Right,3,Unique,73,59,60,69,84,87
Jesús Navas,84,84,13000000,30000,35,172,60,Sevilla FC,Spain Primera Division,RB,Defense,Spain,Right,2,Lean (170-),87,69,81,83,79,58
Piqué,84,84,13500000,175000,34,194,85,FC Barcelona,Spain Primera Division,LCB,Defense,Spain,Right,4,Unique,58,61,71,68,85,78
G. Wijnaldum,84,84,40500000,115000,30,175,74,Paris Saint-Germain,French Ligue 1,RCM,Midfield,Netherlands,Right,3,Unique,77,75,80,86,79,79
J. Henderson,84,84,29500000,140000,31,182,80,Liverpool,English Premier League,RCM,Midfield,England,Right,3,Normal (170-185),66,74,83,79,78,81
Fernando,84,84,21000000,43000,33,183,76,Sevilla FC,Spain Primera Division,CDM,Midfield,Brazil,Right,2,Lean (170-185),66,62,75,74,83,82
Iago Aspas,84,84,27000000,46000,33,176,67,RC Celta de Vigo,Spain Primera Division,RS,Attack,Spain,Left,2,Lean (170-185),82,85,79,86,35,63
De Gea,84,84,28000000,120000,30,192,82,Manchester United,English Premier League,GK,GoalKeeper,Spain,Right,4,Unique,,,,,,
D. Alaba,84,84,35500000,195000,29,180,78,Real Madrid CF,Spain Primera Division,LB,Defense,Austria,Left,4,Normal (170-185),77,70,81,80,83,76
Luis Alberto,84,84,42500000,95000,28,183,74,Lazio,Italian Serie A,LCM,Midfield,Spain,Right,2,Lean (170-185),60,76,86,84,57,59
W. Ben Yedder,84,84,41500000,88000,30,170,68,AS Monaco,French Ligue 1,ST,Attack,France,Right,2,Unique,82,84,77,87,39,70
L. Digne,84,84,40500000,110000,27,178,74,Everton,English Premier League,LB,Defense,France,Left,2,Unique,79,69,80,80,80,76
E. Martínez,84,85,33500000,81000,28,195,88,Aston Villa,English Premier League,GK,GoalKeeper,Argentina,Right,3,Stocky (185+),,,,,,
H. Maguire,84,86,42500000,155000,28,194,100,Manchester United,English Premier League,LCB,Defense,England,Right,3,Stocky (185+),50,55,69,70,85,87
S. Savić,84,84,34500000,74000,30,187,80,Atlético de Madrid,Spain Primera Division,RCB,Defense,Montenegro,Right,2,Normal (185+),64,35,57,58,87,76
L. Shaw,84,86,48500000,140000,25,181,75,Manchester United,English Premier League,LB,Defense,England,Left,2,Stocky (170-185),79,54,79,80,81,80
J. Grealish,84,85,50500000,180000,25,180,81,Manchester City,English Premier League,LW,Attack,England,Right,3,Unique,80,76,83,88,46,64
Y. Carrasco,84,84,45000000,81000,27,185,73,Atlético de Madrid,Spain Primera Division,LM,Midfield,Belgium,Right,3,Lean (185+),88,81,78,85,45,67
Ricardo Pereira,84,84,40500000,130000,27,175,70,Leicester City,English Premier League,RB,Defense,Portugal,Right,3,Unique,83,67,78,82,80,75
M. Maignan,84,89,49500000,45000,25,191,89,AC Milan,Italian Serie A,GK,GoalKeeper,France,Right,2,Normal (185+),,,,,,
M. Brozović,84,84,37000000,130000,28,181,68,Inter,Italian Serie A,CDM,Midfield,Croatia,Right,3,Lean (170-185),69,74,80,79,79,78
Y. Tielemans,84,87,57000000,125000,24,176,72,Leicester City,English Premier League,RDM,Midfield,Belgium,Right,2,Normal (170-185),63,79,86,80,71,72
J. Giménez,84,88,52000000,74000,26,185,79,Atlético de Madrid,Spain Primera Division,CB,Defense,Uruguay,Right,2,Normal (185+),69,45,57,59,86,80
N. Fekir,84,84,45000000,42000,27,173,75,Real Betis Balompié,Spain Primera Division,CAM,Midfield,France,Left,3,Stocky (170-185),83,83,82,87,38,79
N. Barella,84,89,63500000,120000,24,172,68,Inter,Italian Serie A,RCM,Midfield,Italy,Right,3,Normal (170-),78,71,79,86,75,78
M. Acuña,84,84,37000000,45000,29,172,69,Sevilla FC,Spain Primera Division,LB,Defense,Argentina,Left,2,Stocky (170-185),76,74,82,87,79,82
F. Kessié,84,86,49500000,51000,24,183,88,AC Milan,Italian Serie A,LDM,Midfield,Côte d'Ivoire,Right,3,Normal (170-185),78,74,74,80,82,87
T. Hernández,84,90,62500000,51000,23,184,81,AC Milan,Italian Serie A,LB,Defense,France,Left,3,Unique,93,71,76,81,77,82
S. Kjær,83,83,23500000,54000,32,190,86,AC Milan,Italian Serie A,RCB,Defense,Denmark,Right,3,Normal (185+),67,55,64,59,85,78
E. Džeko,83,83,15500000,105000,35,193,80,Inter,Italian Serie A,RS,Attack,Bosnia and Herzegovina,Right,3,Lean (185+),66,83,72,78,45,76
Azpilicueta,83,83,25000000,125000,31,178,77,Chelsea,English Premier League,RWB,Defense,Spain,Right,3,Normal (170-185),66,55,76,72,84,76
Muniain,83,83,36500000,44000,28,170,66,Athletic Club de Bilbao,Spain Primera Division,LM,Midfield,Spain,Right,2,Normal (170-),81,76,82,87,51,61
Canales,83,83,34500000,38000,30,176,65,Real Betis Balompié,Spain Primera Division,LM,Midfield,Spain,Left,2,Lean (170-185),83,80,85,82,67,71
Alex Sandro,83,83,31500000,95000,30,180,80,Juventus,Italian Serie A,LB,Defense,Brazil,Left,3,Unique,81,65,77,79,78,79
B. Leno,83,84,28000000,87000,29,190,83,Arsenal,English Premier League,GK,GoalKeeper,Germany,Right,3,Normal (185+),,,,,,
K. Manolas,83,83,30000000,80000,30,189,83,Napoli,Italian Serie A,RCB,Defense,Greece,Right,3,Normal (185+),81,25,44,62,85,81
H. Mkhitaryan,83,83,29500000,82000,32,177,75,Roma,Italian Serie A,LM,Midfield,Armenia,Right,3,Normal (170-185),85,80,79,83,56,74
J. Cuadrado,83,83,19000000,95000,33,179,72,Juventus,Italian Serie A,RM,Midfield,Colombia,Right,3,Lean (170-185),90,75,77,87,76,72
J. Matip,83,83,30500000,130000,29,194,90,Liverpool,English Premier League,RCB,Defense,Cameroon,Right,2,Lean (185+),58,46,68,68,85,78
F. Acerbi,83,83,17500000,75000,33,192,88,Lazio,Italian Serie A,LCB,Defense,Italy,Left,3,Normal (185+),63,50,62,64,86,83
Allan,83,83,30500000,100000,30,175,74,Everton,English Premier League,LDM,Midfield,Brazil,Right,2,Normal (170-185),72,71,77,82,80,79
K. Volland,83,83,37000000,83000,28,179,85,AS Monaco,French Ligue 1,RF,Attack,Germany,Left,2,Stocky (170-185),73,85,79,80,42,86
Morata,83,83,37000000,84000,28,190,84,Juventus,Italian Serie A,ST,Attack,Spain,Right,3,Unique,82,80,72,81,31,77
N. Pope,83,83,25000000,45000,29,199,76,Burnley,English Premier League,GK,GoalKeeper,England,Right,1,Lean (185+),,,,,,
R. Jiménez,83,83,35500000,120000,30,188,81,Wolverhampton Wanderers,English Premier League,ST,Attack,Mexico,Right,3,Normal (185+),72,82,76,81,47,82
J. Pickford,83,85,33000000,83000,27,185,77,Everton,English Premier League,GK,GoalKeeper,England,Left,3,Normal (185+),,,,,,
A. Rüdiger,83,84,34500000,130000,28,190,85,Chelsea,English Premier League,LCB,Defense,Germany,Right,2,Lean (185+),75,43,68,64,84,84
L. Ocampos,83,83,39500000,46000,26,188,84,Sevilla FC,Spain Primera Division,LW,Attack,Argentina,Right,2,Normal (185+),81,84,78,83,63,84
T. Partey,83,83,36500000,115000,28,185,77,Arsenal,English Premier League,RDM,Midfield,Ghana,Right,2,Normal (185+),69,71,82,81,80,84
Gayà,83,86,43500000,48000,26,172,66,Valencia CF,Spain Primera Division,LB,Defense,Spain,Left,3,Lean (170-185),83,61,77,80,79,73
T. Lemar,83,86,48000000,71000,25,171,66,Atlético de Madrid,Spain Primera Division,LCM,Midfield,France,Left,3,Lean (170-185),82,76,82,86,59,63
P. Højbjerg,83,86,43500000,105000,25,185,84,Tottenham Hotspur,English Premier League,RCM,Midfield,Denmark,Right,2,Normal (185+),60,71,76,76,81,82
D. Zapata,83,83,35500000,77000,30,189,88,Atalanta,Italian Serie A,ST,Attack,Colombia,Right,2,Normal (185+),80,81,61,78,35,84
R. Gosens,83,83,36000000,65000,26,183,76,Atalanta,Italian Serie A,LM,Midfield,Germany,Left,3,Normal (170-185),82,75,74,79,77,81
Merino,83,87,50000000,47000,25,189,83,Real Sociedad,Spain Primera Division,RCM,Midfield,Spain,Left,1,Normal (185+),74,78,81,82,82,81
A. Wan-Bissaka,83,87,48500000,115000,23,183,72,Manchester United,English Premier League,RB,Defense,England,Right,2,Unique,85,52,69,79,81,75
O. Dembélé,83,88,55000000,165000,24,178,67,FC Barcelona,Spain Primera Division,RW,Attack,France,Left,3,Unique,93,77,77,86,36,56
M. Mount,83,89,58500000,120000,22,178,70,Chelsea,English Premier League,RW,Attack,England,Right,3,Lean (170-185),74,79,84,83,55,65
É. Mendy,83,85,30000000,105000,29,197,86,Chelsea,English Premier League,GK,GoalKeeper,Senegal,Right,2,Lean (185+),,,,,,
F. Chiesa,83,91,80500000,74000,23,175,70,Juventus,Italian Serie A,LM,Midfield,Italy,Right,3,Normal (170-185),91,81,74,85,48,73
J. Koundé,83,89,53000000,33000,22,181,75,Sevilla FC,Spain Primera Division,RCB,Defense,France,Right,2,Normal (170-185),81,45,64,72,84,78
Raúl Albiol,82,82,8000000,30000,35,190,82,Villarreal CF,Spain Primera Division,RCB,Defense,Spain,Right,3,Lean (185+),40,41,62,63,86,73
Ł. Fabiański,82,82,3400000,43000,36,190,83,West Ham United,English Premier League,GK,GoalKeeper,Poland,Right,2,Normal (185+),,,,,,
S. Sirigu,82,82,5000000,20000,34,192,85,Genoa,Italian Serie A,GK,GoalKeeper,Italy,Right,3,Normal (185+),,,,,,
G. Bale,82,82,25000000,170000,31,185,82,Real Madrid CF,Spain Primera Division,RW,Attack,Wales,Left,4,Unique,82,84,82,80,55,70
Rui Patrício,82,82,10000000,51000,33,190,84,Roma,Italian Serie A,GK,GoalKeeper,Portugal,Left,3,Normal (185+),,,,,,
I. Gueye,82,82,21500000,88000,31,174,66,Paris Saint-Germain,French Ligue 1,CM,Midfield,Senegal,Right,2,Lean (170-185),69,62,71,78,83,77
W. Zaha,82,82,31000000,85000,28,180,66,Crystal Palace,English Premier League,RW,Attack,Côte d'Ivoire,Right,2,Unique,89,77,73,87,34,75
A. Lopes,82,83,23000000,60000,30,184,81,Olympique Lyonnais,French Ligue 1,GK,GoalKeeper,Portugal,Left,2,Normal (170-185),,,,,,
Campaña,82,82,30500000,43000,28,179,70,Levante Unión Deportiva,Spain Primera Division,LCM,Midfield,Spain,Right,1,Lean (170-185),68,74,83,82,71,72
Gabriel Paulista,82,82,25000000,44000,30,185,72,Valencia CF,Spain Primera Division,RCB,Defense,Brazil,Right,2,Lean (185+),67,49,71,65,84,83
J. Veretout,82,83,29500000,66000,28,177,67,Roma,Italian Serie A,LDM,Midfield,France,Right,2,Normal (170-185),77,75,77,79,77,81
Suso,82,82,32500000,42000,27,176,70,Sevilla FC,Spain Primera Division,RW,Attack,Spain,Left,2,Normal (170-185),76,76,82,85,32,55
Juan Bernat,82,82,27500000,90000,28,170,67,Paris Saint-Germain,French Ligue 1,LB,Defense,Spain,Left,2,Normal (170-),82,65,78,82,76,68
H. Çalhanoğlu,82,83,35000000,115000,27,178,76,Inter,Italian Serie A,LCM,Midfield,Turkey,Right,3,Normal (170-185),67,78,84,85,59,57
M. de Roon,82,82,25500000,59000,30,185,76,Atalanta,Italian Serie A,RCM,Midfield,Netherlands,Right,3,Normal (185+),66,68,71,73,82,83
Y. Bounou,82,82,20500000,29000,30,192,78,Sevilla FC,Spain Primera Division,GK,GoalKeeper,Morocco,Left,1,Lean (185+),,,,,,
D. Berardi,82,82,33500000,51000,26,183,72,U.S. Sassuolo Calcio,Italian Serie A,RM,Midfield,Italy,Left,2,Lean (170-185),79,80,81,85,36,69
Diego Carlos,82,84,30500000,37000,28,185,86,Sevilla FC,Spain Primera Division,LCB,Defense,Brazil,Right,2,Stocky (185+),76,47,63,68,81,83
A. Rebić,82,82,32500000,54000,27,185,78,AC Milan,Italian Serie A,LM,Midfield,Croatia,Right,1,Normal (185+),86,83,75,81,48,80
J. Maddison,82,85,41500000,100000,24,175,73,Leicester City,English Premier League,CAM,Midfield,England,Right,1,Lean (170-185),75,78,84,84,54,60
M. Locatelli,82,87,42000000,74000,23,185,75,Juventus,Italian Serie A,RDM,Midfield,Italy,Right,2,Lean (185+),61,72,79,77,79,79
M. Ødegaard,82,88,49000000,89000,22,178,68,Arsenal,English Premier League,CAM,Midfield,Norway,Left,3,Lean (170-185),77,74,83,84,58,62
Rúben Neves,82,87,46000000,89000,24,180,80,Wolverhampton Wanderers,English Premier League,RCM,Midfield,Portugal,Right,2,Normal (170-185),59,75,85,77,74,73
Fabián,82,86,42000000,77000,25,189,70,Napoli,Italian Serie A,RCM,Midfield,Spain,Left,2,Normal (185+),63,78,79,82,74,71
C. Pulisic,82,88,49000000,120000,22,177,69,Chelsea,English Premier League,LW,Attack,United States,Right,3,Lean (170-185),89,70,73,86,37,59
Mario Hermoso,82,85,35500000,62000,26,185,76,Atlético de Madrid,Spain Primera Division,LCB,Defense,Spain,Left,1,Normal (185+),75,49,72,71,83,80
Unai Simón,82,86,34500000,24000,24,190,89,Athletic Club de Bilbao,Spain Primera Division,GK,GoalKeeper,Spain,Right,3,Normal (185+),,,,,,
Richarlison,82,87,46500000,100000,24,181,71,Everton,English Premier League,LM,Midfield,Brazil,Right,3,Lean (170-185),83,78,73,83,53,80
Raphinha,82,87,46000000,89000,24,176,68,Leeds United,English Premier League,RM,Midfield,Brazil,Left,2,Lean (170-185),91,76,76,84,49,72
A. Isak,82,86,45000000,37000,21,192,77,Real Sociedad,Spain Primera Division,ST,Attack,Sweden,Right,2,Unique,84,82,68,79,29,69
D. Rice,82,87,43000000,69000,22,185,80,West Ham United,English Premier League,LDM,Midfield,England,Right,1,Normal (185+),66,53,71,74,81,79
Y. En-Nesyri,82,86,44000000,37000,24,188,78,Sevilla FC,Spain Primera Division,ST,Attack,Morocco,Left,2,Lean (185+),78,83,58,78,35,76
T. Souček,82,85,36000000,81000,26,192,86,West Ham United,English Premier League,RDM,Midfield,Czech Republic,Right,1,Lean (185+),64,72,74,74,82,85
Éder Militão,82,89,56500000,130000,23,186,78,Real Madrid CF,Spain Primera Division,RCB,Defense,Brazil,Right,2,Lean (170-185),83,50,69,71,83,82
Ferran Torres,82,90,68500000,120000,21,184,77,Manchester City,English Premier League,ST,Attack,Spain,Right,1,Lean (170-185),82,79,78,82,35,66
Joaquín,81,81,8500000,23000,39,179,75,Real Betis Balompié,Spain Primera Division,RM,Midfield,Spain,Right,2,Normal (170-185),68,80,84,81,44,55
B. Yılmaz,81,81,11000000,39000,35,188,77,LOSC Lille,French Ligue 1,LS,Attack,Turkey,Right,2,Lean (185+),79,83,69,73,34,79
A. Consigli,81,81,4400000,32000,34,189,82,U.S. Sassuolo Calcio,Italian Serie A,GK,GoalKeeper,Italy,Right,2,Lean (185+),,,,,,
S. Mandanda,81,81,2900000,24000,36,185,82,Olympique de Marseille,French Ligue 1,GK,GoalKeeper,France,Right,3,Normal (185+),,,,,,
José Fonte,81,81,4600000,30000,37,191,84,LOSC Lille,French Ligue 1,RCB,Defense,Portugal,Right,3,Lean (185+),32,46,62,63,83,77
Lucas Leiva,81,81,9000000,64000,34,179,78,Lazio,Italian Serie A,CDM,Midfield,Brazil,Right,3,Normal (170-185),56,65,73,76,82,69
I. Perišić,81,81,20500000,105000,32,186,80,Inter,Italian Serie A,LM,Midfield,Croatia,Left,3,Lean (185+),81,79,76,79,64,74
M. Arnautović,81,81,21000000,48000,32,192,83,Bologna,Italian Serie A,ST,Attack,Austria,Right,3,Normal (185+),79,81,79,78,44,82
B. André,81,81,21500000,43000,30,180,74,LOSC Lille,French Ligue 1,RCM,Midfield,France,Right,2,Normal (170-185),67,64,74,75,80,85
Aitor,81,81,17000000,28000,30,182,78,Levante Unión Deportiva,Spain Primera Division,GK,GoalKeeper,Spain,Right,1,Normal (170-185),,,,,,
D. Ings,81,81,26500000,90000,28,178,73,Aston Villa,English Premier League,ST,Attack,England,Right,1,Normal (170-185),79,84,70,80,45,70
Danilo,81,81,22500000,83000,29,184,78,Juventus,Italian Serie A,RB,Defense,Brazil,Right,2,Lean (170-185),73,67,73,74,82,79
Paco Alcácer,81,81,28000000,45000,27,175,70,Villarreal CF,Spain Primera Division,LS,Attack,Spain,Right,2,Normal (170-185),77,84,69,81,35,61
Nacho Fernández,81,81,17500000,140000,31,180,76,Real Madrid CF,Spain Primera Division,LCB,Defense,Spain,Right,2,Normal (170-185),78,37,66,69,81,80
